europe.city-maiden-castle | Maiden Castle | Europe | s=-600 e=-43 ext=None b=[-636, -564] | typological | h=None ds=None | Largest Iron Age hillfort in Britain; proto-urban tribal centre, not a city. | al=Dorset
europe.city-tara | Tara | Europe | s=-2500 e=1000 ext=None b=[-2650, -2350] | typological | h=None ds=None | Ceremonial inauguration site of the high kings of Ireland; not an urban centre. | al=Temair,Hill of Tara,County Meath
europe.city-tarentum | Tarentum | Europe | s=-706 e=None ext=True b=[-720, -692] | typological | h=None ds=None | Richest Greek city of Italy, patron of Pyrrhus and master of the purple-dye trade. | al=Taras,Taranto
europe.city-tarquinia | Tarquinia | Europe | s=-900 e=None ext=True b=[-954, -846] | typological | h=None ds=None | Etruscan religious and political capital, famed for painted tombs. | al=Tarquinii,Corneto,Lazio
europe.city-tarraco | Tarraco | Europe | s=-218 e=None ext=True b=[-228, -208] | typological | h=None ds=None | Capital of Hispania Citerior with an imperial cult complex and circus. | al=Tarragona
europe.city-tartessos | Tartessos | Europe | s=-900 e=-500 ext=None b=[-1035, -765] | typological | h=None ds=None | Legendary silver-rich kingdom and trading polity of the Atlantic southwest. | al=Tarshish,lower Guadalquivir
europe.city-tarxien | Tarxien and Ġgantija temples | Europe | s=-3600 e=-2350 ext=None b=[-3816, -3384] | typological | h=None ds=None | World's oldest free-standing stone temples; ceremonial complexes, not cities. | al=Ggantija,Hagar Qim,Malta and Gozo
europe.city-tegea | Tegea | Europe | s=-700 e=600 ext=None b=[-805, -595] | typological | h=None ds=None | Leading Arcadian city and site of the great temple of Athena Alea. | al=Tegeae,Arcadia
europe.city-terracina | Terracina | Europe | s=-700 e=None ext=True b=[-805, -595] | typological | h=None ds=None | Coastal Appian Way city with a cliff-top sanctuary of Jupiter Anxur. | al=Anxur,Tarracina,Lazio
europe.city-thapsos | Thapsos | Europe | s=-1500 e=-1200 ext=None b=[-1590, -1410] | typological | h=None ds=None | Bronze Age Sicilian trading town in contact with Mycenaeans and Cyprus. | al=Sicily
europe.city-tharros | Tharros | Europe | s=-700 e=1070 ext=None b=[-742, -658] | typological | h=None ds=None | Phoenician-Punic port of Sardinia, abandoned for Oristano after Arab raids. | al=Sardinia
europe.city-thasos | Thasos | Europe | s=-680 e=600 ext=None b=[-720, -640] | typological | h=None ds=None | Parian colony rich from gold mines and marble on the Thracian coast. | al=Limenas
europe.city-thebes-greece | Thebes | Europe | s=-3000 e=None ext=True b=[-3180, -2820] | typological | h=None ds=None | Mycenaean palace and later hegemon of Greece after Leuctra. | al=Thebai,Thiva
europe.city-thera-ancient | Ancient Thera | Europe | s=-800 e=700 ext=None b=[-920, -680] | typological | h=None ds=None | Dorian hilltop city of Santorini and metropolis of Cyrene. | al=Mesa Vouno,Santorini
europe.city-thessalonica | Thessalonica | Europe | s=-315 e=None ext=True b=[-325, -305] | typological | h=None ds=None | Second city of Byzantium and great port of the via Egnatia. | al=Thessaloniki,Salonica
europe.city-thingvellir | Þingvellir | Europe | s=930 e=1500 ext=None b=[912, 948] | typological | h=None ds=None | Assembly plain of the Althing, the world's oldest parliament site; not a town. | al=Thingvellir,Iceland
europe.city-thurii | Thurii | Europe | s=-444 e=500 ext=None b=[-510, -378] | typological | h=None ds=None | Panhellenic refoundation of Sybaris planned with Hippodamian streets. | al=Thourioi,Copia,Calabria
europe.city-tibur | Tibur | Europe | s=-1200 e=None ext=True b=[-1380, -1020] | typological | h=None ds=None | Latin city and villa resort of the Roman elite, including Hadrian's Villa. | al=Tivoli
europe.city-tiryns | Tiryns | Europe | s=-3000 e=-1100 ext=None b=[-3060, -2940] | typological | h=None ds=None | Cyclopean-walled Mycenaean palace fortress guarding the Argive plain. | al=Tirynthos,Argolis
europe.city-tmutarakan | Tmutarakan | Europe | s=-550 e=1200 ext=None b=[-632, -468] | typological | h=None ds=None | Greek, Khazar then Rus principality controlling the Kerch strait. | al=Hermonassa,Taman,Krasnodar Krai
europe.city-toledo | Toledo | Europe | s=-200 e=None ext=True b=[-210, -190] | typological | h=None ds=None | Visigothic capital and later the great translation centre of three faiths. | al=Toletum,Tulaytulah
europe.city-tolosa | Tolosa | Europe | s=-300 e=None ext=True b=[-325, -275] | typological | h=None ds=None | Volcae city and capital of the Visigothic kingdom in Gaul. | al=Toulouse
europe.city-tomis | Tomis | Europe | s=-600 e=None ext=True b=[-636, -564] | typological | h=None ds=None | Black Sea port, place of Ovid's exile and late Roman metropolis of Scythia Minor. | al=Constanța,Constantia
europe.city-tongeren | Atuatuca Tungrorum | Europe | s=-15 e=None ext=True b=[-65, 35] | typological | h=None ds=None | Oldest town in Belgium, Roman capital of the Tungri. | al=Tongeren,Tongres
europe.city-tonsberg | Tønsberg | Europe | s=871 e=None ext=True b=[741, 1001] | typological | h=None ds=None | Claimed oldest Norwegian town and royal castle seat. | al=Vestfold
europe.city-torcello | Torcello | Europe | s=452 e=1500 ext=None b=[425, 479] | typological | h=None ds=None | First great settlement of the Venetian lagoon, later abandoned to malaria. | al=Venetian Lagoon
europe.city-trelleborg | Trelleborg (Slagelse) | Europe | s=980 e=1050 ext=None b=[922, 1038] | typological | h=None ds=None | Geometric royal ring fortress of Harald Bluetooth; garrison, not a town. | al=Trelleborg ring fort,Zealand
europe.city-trier | Trier | Europe | s=-16 e=None ext=True b=[-26, -6] | typological | h=None ds=None | Northern imperial capital of Constantine, the "second Rome" of the west. | al=Augusta Treverorum,Treves
europe.city-trieste | Tergeste | Europe | s=-200 e=None ext=True b=[-250, -150] | typological | h=None ds=None | Adriatic Roman port at the head of the gulf. | al=Trieste
europe.city-truso | Truso | Europe | s=700 e=900 ext=None b=[595, 805] | typological | h=None ds=None | Baltic Prussian trading site on the amber route, mentioned by Wulfstan. | al=Janów Pomorski,near Elbląg
europe.city-turin | Turin | Europe | s=-28 e=None ext=True b=[-78, 22] | typological | h=None ds=None | Roman grid colony that became the Savoyard capital. | al=Augusta Taurinorum,Torino
europe.city-tusculum | Tusculum | Europe | s=-1000 e=1191 ext=None b=[-1150, -850] | typological | h=None ds=None | Latin city of the Alban Hills, razed by Rome's medieval commune. | al=Frascati area
europe.city-tver | Tver | Europe | s=1135 e=None ext=True b=[None, None] | calendar | h=None ds=None | Volga principality that contested leadership of the Rus with Moscow. | al=
europe.city-tyras | Tyras | Europe | s=-600 e=None ext=True b=[-690, -510] | typological | h=None ds=None | Greek Dniester port, later Genoese and Moldavian fortress town. | al=Bilhorod-Dnistrovskyi,Akkerman,Odesa Oblast
europe.city-ulaca | Ulaca | Europe | s=-400 e=-50 ext=None b=[-460, -340] | typological | h=None ds=None | Vettonian oppidum with a rock-cut sanctuary and sauna. | al=Castro de Ulaca,Ávila
europe.city-ulpia-traiana | Ulpia Traiana Sarmizegetusa | Europe | s=106 e=300 ext=None b=[56, 156] | typological | h=None ds=None | Roman capital of Dacia, abandoned after imperial withdrawal. | al=Hunedoara
europe.city-utrecht | Utrecht | Europe | s=50 e=None ext=True b=[25, 75] | typological | h=None ds=None | Roman fort and Willibrord's see, the ecclesiastical capital of the Low Countries. | al=Traiectum,Trecht
europe.city-valencina | Valencina de la Concepción | Europe | s=-3200 e=-2300 ext=None b=[-3392, -3008] | typological | h=None ds=None | Enormous Copper Age ditched mega-settlement of the Guadalquivir. | al=Valencina,Seville province
europe.city-valentia | Valentia | Europe | s=-138 e=None ext=True b=[-163, -113] | typological | h=None ds=None | Roman colony and later silk and Mediterranean trade capital of Aragon. | al=Valencia
europe.city-valladolid | Valladolid | Europe | s=1072 e=None ext=True b=[None, None] | calendar | h=None ds=None | Castilian court city and administrative centre. | al=
europe.city-veii | Veii | Europe | s=-900 e=-100 ext=None b=[-954, -846] | typological | h=None ds=None | Nearest Etruscan rival of Rome, destroyed in 396 BCE after a decade-long siege. | al=Veio,Lazio
europe.city-velia | Velia | Europe | s=-538 e=1300 ext=None b=[-570, -506] | typological | h=None ds=None | Phocaean colony and home of the Eleatic philosophers Parmenides and Zeno. | al=Elea,Hyele,Campania
europe.city-veliko-tarnovo | Veliko Tarnovo | Europe | s=1100 e=None ext=True b=[None, None] | calendar | h=None ds=None | Capital of the Second Bulgarian Empire, the "city of the tsars". | al=Tarnovo,Turnovo
europe.city-venice | Venice | Europe | s=421 e=None ext=True b=[411, 431] | typological | h=None ds=None | Lagoon republic that dominated Mediterranean trade for five centuries. | al=Venezia,Venetiae
europe.city-venta-belgarum | Venta Belgarum | Europe | s=-50 e=None ext=True b=[-60, -40] | typological | h=None ds=None | Roman town that became King Alfred's capital of Wessex. | al=Winchester,Wintanceaster
europe.city-verona | Verona | Europe | s=-100 e=None ext=True b=[-125, -75] | typological | h=None ds=None | Roman Adige city with a great arena, later Scaliger capital. | al=
europe.city-verulamium | Verulamium | Europe | s=-50 e=450 ext=None b=[-75, -25] | typological | h=None ds=None | Catuvellauni municipium and site of Britain's first martyrdom; abandoned for St Albans. | al=St Albans
europe.city-vesontio | Vesontio | Europe | s=-100 e=None ext=True b=[-150, -50] | typological | h=None ds=None | Sequani capital in a Doubs loop, key to Caesar's campaigns. | al=Besançon
europe.city-vienne-france | Vienna Allobrogum | Europe | s=-300 e=None ext=True b=[-350, -250] | typological | h=None ds=None | Wealthy Rhône colony rivalling Lugdunum, with a full monumental centre. | al=Vienne
europe.city-viminacium | Viminacium | Europe | s=-100 e=582 ext=None b=[-150, -50] | typological | h=None ds=None | Legionary city and provincial capital of Moesia Superior, abandoned after Avar raids. | al=Viminatium,Kostolac
europe.city-vinca | Vinča | Europe | s=-5700 e=-4500 ext=None b=[-6042, -5358] | typological | h=None ds=None | Type site of the Vinča culture; large proto-urban tell, not a city proper. | al=Vinča-Belo Brdo,near Belgrade
europe.city-vindobona | Vindobona | Europe | s=-15 e=None ext=True b=[-25, -5] | typological | h=None ds=None | Roman Danube fort that became the Habsburg imperial residence city. | al=Vienna,Wien
europe.city-viroconium | Viroconium Cornoviorum | Europe | s=-50 e=700 ext=None b=[-75, -25] | typological | h=None ds=None | Fourth largest Roman town in Britain, abandoned after a timber post-Roman phase. | al=Wroxeter,Shropshire
europe.city-visby | Visby | Europe | s=900 e=None ext=True b=[882, 918] | typological | h=None ds=None | Walled Hanseatic city of Gotland, entrepôt between Novgorod and the west. | al=Gotland
europe.city-vix-mont-lassois | Vix / Mont Lassois | Europe | s=-600 e=-450 ext=None b=[-636, -564] | typological | h=None ds=None | Hallstatt princely seat whose tomb held the huge Greek Vix krater. | al=Burgundy
europe.city-vladimir | Vladimir | Europe | s=1108 e=None ext=True b=[None, None] | calendar | h=None ds=None | Capital of Vladimir-Suzdal and heart of Rus power after Kyiv's decline. | al=Vladimir-on-Klyazma
europe.city-volterra | Volterra | Europe | s=-800 e=None ext=True b=[-848, -752] | typological | h=None ds=None | Etruscan hill city with alabaster urns and vast surviving walls. | al=Volaterrae,Velathri,Tuscany
europe.city-vulci | Vulci | Europe | s=-900 e=800 ext=None b=[-1035, -765] | typological | h=None ds=None | Etruscan bronze-working city and huge exporter-importer of Greek vases. | al=Lazio
europe.city-warsaw | Warsaw | Europe | s=1300 e=None ext=True b=[None, None] | calendar | h=None ds=None | Mazovian ducal town that grew into Poland's capital after our period. | al=Warszawa
europe.city-waterford | Waterford | Europe | s=914 e=None ext=True b=[860, 968] | typological | h=None ds=None | Oldest continuously chartered Viking city of Ireland. | al=Vadrafjord,Port Láirge
europe.city-wolin | Wolin | Europe | s=800 e=1200 ext=None b=[752, 848] | typological | h=None ds=None | Great Slavic Baltic emporium at the Oder mouth, identified with legendary Jomsborg. | al=Jomsborg,Vineta
europe.city-worms | Worms | Europe | s=-100 e=None ext=True b=[-150, -50] | typological | h=None ds=None | Imperial diet city, Rhineland Jewish centre and Nibelungen setting. | al=Borbetomagus
europe.city-wroclaw | Wrocław | Europe | s=900 e=None ext=True b=[846, 954] | typological | h=None ds=None | Silesian Oder city passing between Polish, Bohemian and Hungarian crowns. | al=Breslau
europe.city-xanten | Colonia Ulpia Traiana | Europe | s=-12 e=450 ext=None b=[-37, 13] | typological | h=None ds=None | Rhine colony beside the Vetera legionary bases, abandoned in the Frankish period. | al=Xanten,Vetera
europe.city-yaroslavl | Yaroslavl | Europe | s=1010 e=None ext=True b=[None, None] | calendar | h=None ds=None | Volga city founded by Yaroslav the Wise, later a trade centre. | al=
europe.city-ypres | Ypres | Europe | s=1000 e=None ext=True b=[None, None] | calendar | h=None ds=None | Flemish cloth-hall city whose linen and wool trade rivalled Ghent. | al=Ieper
europe.city-zadar | Zadar | Europe | s=-800 e=None ext=True b=[-848, -752] | typological | h=None ds=None | Liburnian and Roman port, chief city of Byzantine then Venetian Dalmatia. | al=Iadera,Jadera
europe.city-zakros | Zakros | Europe | s=-1900 e=-1450 ext=None b=[-2014, -1786] | typological | h=None ds=None | Minoan palace and gateway port for trade with Egypt and the Levant. | al=Kato Zakros,Crete
europe.city-zambujal | Zambujal | Europe | s=-2600 e=-1800 ext=None b=[-2756, -2444] | typological | h=None ds=None | Heavily bastioned Copper Age fortified settlement of the Tagus estuary. | al=Torres Vedras
europe.city-zamora | Zamora | Europe | s=-100 e=None ext=True b=[-150, -50] | typological | h=None ds=None | Duero frontier fortress city with dense Romanesque churches. | al=
europe.city-zancle | Zancle | Europe | s=-730 e=None ext=True b=[-773, -687] | typological | h=None ds=None | Strait city and bridgehead for Greek and later Roman expansion. | al=Messina,Messana
europe.city-zaragoza | Caesaraugusta | Europe | s=-25 e=None ext=True b=[-50, -1] | typological | h=None ds=None | Ebro Roman colony and later brilliant taifa court of the Banu Hud. | al=Zaragoza,Saraqusta,Salduie
europe.city-zurich | Zurich | Europe | s=-15 e=None ext=True b=[-65, 35] | typological | h=None ds=None | Roman customs post grown into a Swiss free imperial city. | al=Turicum,Zürich
oceania.city-ara-metua | Ara Metua settlements | Oceania | s=1000 e=None ext=True b=[None, None] | calendar | h=None ds=None | Ring-road and marae network organising Rarotonga's districts, a rare paved road system in Polynesia. | al=Rarotonga marae,Rarotonga
oceania.city-badrulchau | Badrulchau | Oceania | s=-100 e=1200 ext=None b=[-150, -50] | typological | h=None ds=None | Monolith and terrace complex of Palau's earthwork era, evidence of large organised pre-contact settlement. | al=Ngarchelong terraces,Babeldaob
oceania.city-bourewa | Bourewa | Oceania | s=-1100 e=-500 ext=None b=[-1265, -935] | typological | h=None ds=None | Earliest known settlement in Fiji, the Lapita beachhead for colonising the central Pacific. | al=Viti Levu
oceania.city-brewarrina-fish-traps | Brewarrina fish traps | Oceania | s=-4000 e=None ext=True b=[-4600, -3400] | typological | h=None ds=None | Vast stone fish-trap complex on the Barwon that hosted large intertribal gatherings and shared harvests. | al=Baiame's Ngunnhu,New South Wales
oceania.city-budj-bim | Budj Bim | Oceania | s=-4500 e=None ext=True b=[-4770, -4230] | typological | h=None ds=None | Gunditjmara aquaculture landscape of eel channels, weirs and stone house clusters, a sedentary Aboriginal settlement. | al=Lake Condah,Victoria
oceania.city-gachpar | Gachpar | Oceania | s=1200 e=None ext=True b=[None, None] | calendar | h=None ds=None | High-ranking Yapese village of stone platforms, paths and rai stone money, head of a tributary network. | al=Gachapar,Yap
oceania.city-haamonga-a-maui | Heketā and Haʻamonga ʻa Maui | Oceania | s=1100 e=1300 ext=None b=[None, None] | calendar | h=None ds=None | Earlier Tu'i Tonga seat with a coral trilithon gateway, abandoned when the court moved to Mu'a. | al=Niutoua,Tongatapu
oceania.city-honaunau | Hōnaunau | Oceania | s=1200 e=1819 ext=None b=[None, None] | calendar | h=None ds=None | Chiefly compound and walled place of refuge where kapu-breakers were granted sanctuary. | al=Pu'uhonua o Honaunau,City of Refuge,Hawai'i Island
oceania.city-house-of-taga | House of Taga | Oceania | s=900 e=1700 ext=None b=[765, 1035] | typological | h=None ds=None | Chamorro latte-stone village whose megalithic pillar houses defined Mariana settlement architecture. | al=Latte Period Tinian,Tinian
oceania.city-kahikinui | Kahikinui | Oceania | s=1400 e=1850 ext=None b=[None, None] | calendar | h=None ds=None | Dryland Hawaiian settlement district of hundreds of house sites and shrines, a study in intensive rain-fed farming. | al=Maui
oceania.city-kohika | Kohika | Oceania | s=1600 e=1750 ext=None b=[None, None] | calendar | h=None ds=None | Waterlogged Māori lake village whose preserved wooden houses and canoes document pre-contact life. | al=Bay of Plenty
oceania.city-kuk-swamp | Kuk Swamp | Oceania | s=-7000 e=None ext=True b=[-7420, -6580] | typological | h=None ds=None | Independent centre of agricultural origins, with drained garden mounds supporting dense highland populations. | al=Kuk,Western Highlands
oceania.city-lapaha | Mu'a | Oceania | s=1200 e=None ext=True b=[None, None] | calendar | h=None ds=None | Capital of the Tu'i Tonga maritime chiefdom, with terraced langi tombs of dressed coral slabs. | al=Lapaha,Heketa,Tongatapu
oceania.city-lapita-talepakemalai | Talepakemalai | Oceania | s=-1350 e=-750 ext=None b=[-1431, -1269] | typological | h=None ds=None | Earliest well-documented Lapita stilt-house village, starting point of the Pacific settlement expansion. | al=Mussau Lapita site,Mussau Islands
oceania.city-leluh | Leluh | Oceania | s=1300 e=None ext=True b=[None, None] | calendar | h=None ds=None | Walled basalt city of chiefly compounds and canal streets, Kosrae's counterpart to Nan Madol. | al=Lelu,Insaru,Kosrae
oceania.city-mangaasi | Mangaasi | Oceania | s=-700 e=1200 ext=None b=[-805, -595] | typological | h=None ds=None | Long-occupied post-Lapita village that gave its name to a distinct central Vanuatu ceramic tradition. | al=Efate
oceania.city-maungakiekie | Maungakiekie | Oceania | s=1300 e=1750 ext=None b=[None, None] | calendar | h=None ds=None | Largest Māori pā, a terraced volcanic cone fortress-town holding several thousand people. | al=One Tree Hill pā,Auckland
oceania.city-me-ae-iipona | Meʻae Iipona | Oceania | s=1200 e=1850 ext=None b=[None, None] | calendar | h=None ds=None | Marquesan ceremonial site with the largest stone tiki in Polynesia outside Rapa Nui. | al=Puamau,Hiva Oa
oceania.city-mulifanua | Mulifanua | Oceania | s=-800 e=-500 ext=None b=[-920, -680] | typological | h=None ds=None | Only known Lapita site in Samoa, now submerged, marking the eastern limit of the first Polynesian push. | al=Upolu
oceania.city-nan-madol | Nan Madol | Oceania | s=1000 e=1800 ext=None b=[None, None] | calendar | h=None ds=None | Saudeleur capital of nearly 100 artificial islets built of basalt logs, a ceremonial city on a reef lagoon. | al=Pohnpei
oceania.city-nukuleka | Nukuleka | Oceania | s=-900 e=None ext=True b=[-954, -846] | typological | h=None ds=None | Founding Lapita village of Tonga, the first human settlement in Polynesia proper. | al=Tongatapu
oceania.city-orongo | Orongo | Oceania | s=1400 e=1867 ext=None b=[None, None] | calendar | h=None ds=None | Ceremonial village of stone-slab houses on a crater rim, used seasonally for the birdman competition. | al=Easter Island
oceania.city-pulemelei | Pulemelei | Oceania | s=1100 e=1500 ext=None b=[None, None] | calendar | h=None ds=None | Largest ancient structure in Polynesia's west, a stepped stone platform at the heart of a settlement complex. | al=Tia Seu Ancient Mound,Savai'i
oceania.city-rapa-nui | Rapa Nui | Oceania | s=1100 e=None ext=True b=[None, None] | calendar | h=None ds=None | Island society of dispersed hamlets and ahu platforms that carved and moved nearly a thousand moai. | al=Easter Island,Rano Raraku,Ahu Tongariki
oceania.city-roi-mata-domain | Chief Roi Mata's Domain | Oceania | s=1200 e=None ext=True b=[None, None] | calendar | h=None ds=None | Residence, cave and mass burial island of a paramount chief whose peace-making order survives in oral tradition. | al=Artok,Retoka,Efate and Lelepa
oceania.city-taipivai | Taipivai | Oceania | s=1100 e=None ext=True b=[None, None] | calendar | h=None ds=None | Marquesan valley polity of stone paepae platforms and tohua plazas with monumental tiki. | al=Paeke,Nuku Hiva
oceania.city-taputapuatea | Taputapuātea | Oceania | s=1000 e=None ext=True b=[None, None] | calendar | h=None ds=None | Central marae of the Polynesian world and node of the Oro cult, from which voyages and lineages radiated. | al=Taputapuatea,Raiatea
oceania.city-teouma | Teouma | Oceania | s=-1000 e=-800 ext=None b=[-1060, -940] | typological | h=None ds=None | Oldest Lapita cemetery in the Pacific, the founding population evidence for Remote Oceania. | al=Efate
oceania.city-wailua | Wailua | Oceania | s=1100 e=None ext=True b=[None, None] | calendar | h=None ds=None | Royal seat of Kaua'i, a sacred river district chaining heiau, birthstones and a place of refuge. | al=Wailua Complex of Heiau,Kaua'i
oceania.city-waimea-kohala | Kohala field system settlements | Oceania | s=1300 e=1850 ext=None b=[None, None] | calendar | h=None ds=None | Dense coastal-to-upland Hawaiian villages tied to a vast walled dryland field system supporting chiefdoms. | al=Lapakahi,Hawai'i Island
oceania.city-wairau-bar | Wairau Bar | Oceania | s=1280 e=1450 ext=None b=[None, None] | calendar | h=None ds=None | Earliest substantial settlement in New Zealand, a founding East Polynesian village and burial ground. | al=Te Pokohiwi,Marlborough
south-asia.city-ahichhatra | Ahichhatra | South Asia | s=-1000 e=1100 ext=None b=[-1060, -940] | typological | h=None ds=None | Capital of the Panchala kingdom and one of the largest early historic walled cities of the Ganges. | al=Ahicchatra,Ramnagar,Bareilly district
south-asia.city-ahmedabad | Ahmedabad | South Asia | s=1411 e=None ext=True b=[None, None] | calendar | h=None ds=None | Gujarat Sultanate capital and India's leading textile manufacturing city. | al=Ahmadabad,Karnavati,Ashaval
south-asia.city-aihole | Aihole | South Asia | s=450 e=1200 ext=None b=[423, 477] | typological | h=None ds=None | Chalukya temple laboratory and seat of the Ayyavole merchant guild. | al=Ayyavole,Aryapura,Bagalkot
south-asia.city-ajanta | Ajanta | South Asia | s=-200 e=650 ext=None b=[-210, -190] | typological | h=None ds=None | Buddhist cave monastery preserving the finest ancient Indian painting. | al=Ajintha caves,Aurangabad district
south-asia.city-amaravati | Amaravati | South Asia | s=-300 e=1300 ext=None b=[-325, -275] | typological | h=None ds=None | Satavahana capital and site of a great stupa whose sculpture shaped Buddhist art across Asia. | al=Dhanyakataka,Amaravathi,Guntur district
south-asia.city-amri | Amri | South Asia | s=-3600 e=-1900 ext=None b=[-3816, -3384] | typological | h=None ds=None | Early Indus regional culture centre preceding and coexisting with mature Harappan cities. | al=Amri Sindh,Dadu
south-asia.city-anuradhapura | Anuradhapura | South Asia | s=-400 e=1017 ext=None b=[-410, -390] | typological | h=None ds=None | Sinhalese capital for over a millennium, giant stupas and vast irrigation tanks. | al=Anuradhapuraya
south-asia.city-arikamedu | Arikamedu | South Asia | s=-200 e=300 ext=None b=[-210, -190] | typological | h=None ds=None | Indo-Roman trading station with amphorae and Arretine ware; the Poduke of the Periplus. | al=Arikkamedu,Poduke,Virampatnam,Puducherry
south-asia.city-ayodhya | Ayodhya | South Asia | s=-700 e=None ext=True b=[-742, -658] | typological | h=None ds=None | Kosala city of the Ramayana and later a Gupta and Jain-Buddhist religious centre. | al=Saketa,Awadh
south-asia.city-badami | Badami | South Asia | s=540 e=None ext=True b=[530, 550] | typological | h=None ds=None | Chalukya capital whose rock-cut temples begin the Deccan tradition of stone architecture. | al=Vatapi,Badami Chalukya,Bagalkot
south-asia.city-banavasi | Banavasi | South Asia | s=-200 e=None ext=True b=[-250, -150] | typological | h=None ds=None | Kadamba capital, the oldest known royal city of Karnataka. | al=Vaijayanti,Banavase,Uttara Kannada
south-asia.city-banawali | Banawali | South Asia | s=-2500 e=-1700 ext=None b=[-2650, -2350] | typological | h=None ds=None | Indus town with pre-Harappan roots and unusual radial rather than grid planning. | al=Vanavali,Fatehabad
south-asia.city-belur | Belur | South Asia | s=1100 e=None ext=True b=[None, None] | calendar | h=None ds=None | Hoysala ceremonial city and site of the Chennakeshava temple. | al=Velapuri,Beluru,Hassan district
south-asia.city-bhaktapur | Bhaktapur | South Asia | s=1000 e=None ext=True b=[None, None] | calendar | h=None ds=None | Malla capital and best-preserved Newar city, controlling the Tibet trade road. | al=Khwopa,Bhadgaon
south-asia.city-bharuch | Bharuch | South Asia | s=-600 e=None ext=True b=[-612, -588] | typological | h=None ds=None | Chief western Indian port of Roman-era trade named in the Periplus. | al=Barygaza,Broach,Bhrigukachchha
south-asia.city-bhubaneswar | Bhubaneswar | South Asia | s=600 e=None ext=True b=[564, 636] | typological | h=None ds=None | Temple city of the Somavamshi and Ganga kings with hundreds of Kalinga-style shrines. | al=Ekamra Kshetra,Bhuvaneshwar
south-asia.city-bhuj | Bhuj | South Asia | s=1510 e=None ext=True b=[None, None] | calendar | h=None ds=None | Kutch capital and hinterland of the Mandvi dhow-building ports of the Arabian Sea trade. | al=Bhujanagara
south-asia.city-bidar | Bidar | South Asia | s=1347 e=None ext=True b=[None, None] | calendar | h=None ds=None | Second Bahmani capital, famed for its madrasa and bidriware metal inlay. | al=Bidar Muhammadabad
south-asia.city-bodhgaya | Bodh Gaya | South Asia | s=-500 e=None ext=True b=[-530, -470] | typological | h=None ds=None | Site of the Buddha's enlightenment; the pilgrimage centre of the Buddhist world. | al=Uruvela,Mahabodhi,Gaya district
south-asia.city-chanhudaro | Chanhu-daro | South Asia | s=-2600 e=-1700 ext=None b=[-2756, -2444] | typological | h=None ds=None | Indus bead- and seal-making industrial town on the lower Indus. | al=Chanhudaro,Sindh
south-asia.city-chittorgarh | Chittorgarh | South Asia | s=700 e=None ext=True b=[658, 742] | typological | h=None ds=None | Greatest Rajput hill fortress-city, thrice besieged and thrice ritually self-destroyed. | al=Chittor,Chitrakuta
south-asia.city-dambadeniya | Dambadeniya | South Asia | s=1220 e=1290 ext=None b=[None, None] | calendar | h=None ds=None | Sinhalese capital after Polonnaruwa's fall, a period of Sinhala literary revival. | al=Dambadeni Nuwara,Kurunegala district
south-asia.city-daulatabad | Daulatabad | South Asia | s=1187 e=None ext=True b=[None, None] | calendar | h=None ds=None | Yadava hill-fortress capital, briefly made capital of the whole Delhi Sultanate by force. | al=Devagiri,Deogiri,Aurangabad district
south-asia.city-debal | Debal | South Asia | s=-100 e=1300 ext=None b=[-125, -75] | typological | h=None ds=None | Indus-delta port taken by Muhammad bin Qasim in 711; site of South Asia's earliest mosque. | al=Daybul,Banbhore,Thatta district
south-asia.city-delhi | Delhi | South Asia | s=-300 e=None ext=True b=[-310, -290] | typological | h=None ds=None | Sultanate capital and the successive site of at least seven distinct imperial cities. | al=Dilli,Dhillika,Indraprastha,Lal Kot
south-asia.city-dhar | Dhar | South Asia | s=800 e=None ext=True b=[680, 920] | typological | h=None ds=None | Paramara capital of Malwa under the scholar-king Bhoja, a centre of Sanskrit learning. | al=Dharanagari,Dhara
south-asia.city-dwarasamudra | Dwarasamudra | South Asia | s=1000 e=1330 ext=None b=[None, None] | calendar | h=None ds=None | Hoysala capital, sacked twice by Delhi armies and abandoned; the Hoysalesvara temple survives. | al=Halebidu,Dorasamudra
south-asia.city-dwarka | Dwarka | South Asia | s=-1500 e=None ext=True b=[-1725, -1275] | typological | h=None ds=None | Legendary Krishna capital and a real medieval pilgrimage and pearl-trade port. | al=Dvaraka,Dwarkapuri,Devbhumi Dwarka
south-asia.city-ellora | Ellora | South Asia | s=600 e=1000 ext=None b=[588, 612] | typological | h=None ds=None | Rock-cut Hindu, Buddhist and Jain cave complex including the monolithic Kailasa temple. | al=Verul,Elapura,Aurangabad district
south-asia.city-gampola | Gampola | South Asia | s=1341 e=1410 ext=None b=[None, None] | calendar | h=None ds=None | Hill-country Sinhalese capital of the Gampola period. | al=Gangasiripura,Kandy district
south-asia.city-gangaikondacholapuram | Gangaikondacholapuram | South Asia | s=1025 e=1300 ext=None b=[None, None] | calendar | h=None ds=None | Purpose-built Chola imperial capital celebrating the conquest of the Ganges plain. | al=Gangaikonda Cholapuram,Ariyalur
south-asia.city-ganweriwala | Ganweriwala | South Asia | s=-2600 e=-1900 ext=None b=[-2756, -2444] | typological | h=None ds=None | Large unexcavated Indus city in the Cholistan desert, a fifth of the civilisation's capitals. | al=Ganeriwala,Cholistan
